,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,76,48,0.9999999999999994,1,1
circuit842.qasm,39,39,0.1464466094067267,0,0
circuit146.qasm,20,52,6.661338147750939e-16,0,0
circuit704.qasm,47,53,0.25000000000000044,0,0
circuit984.qasm,29,31,0.14644660940672666,0,0
circuit426.qasm,65,42,0.8535533905932733,1,1
circuit190.qasm,23,59,5.551115123125783e-16,0,0
circuit871.qasm,29,59,4.996003610813204e-16,0,0
circuit188.qasm,30,51,0.14644660940672666,0,0
circuit750.qasm,22,49,4.440892098500626e-16,0,0
circuit328.qasm,71,49,0.8535533905932731,1,1
circuit275.qasm,44,44,0.25000000000000044,0,0
circuit309.qasm,36,52,0.2500000000000004,0,0
circuit513.qasm,42,34,0.2500000000000001,0,0
circuit969.qasm,25,47,3.885780586188048e-16,0,0
circuit583.qasm,62,51,0.7866116523516815,1,1
circuit483.qasm,71,55,0.8535533905932733,1,1
circuit326.qasm,60,50,0.8535533905932733,1,1
circuit319.qasm,39,45,7.216449660063518e-16,0,0
circuit278.qasm,51,54,0.6767766952966365,1,1
circuit706.qasm,26,40,6.661338147750939e-16,0,0
circuit558.qasm,58,50,0.8535533905932733,1,1
circuit358.qasm,79,51,0.8535533905932734,1,1
circuit394.qasm,24,52,4.440892098500626e-16,0,0
circuit682.qasm,70,52,0.9267766952966362,1,1
circuit035.qasm,18,49,4.440892098500626e-16,0,0
circuit503.qasm,35,50,0.25000000000000044,0,0
circuit812.qasm,34,50,0.14644660940672688,0,0
circuit934.qasm,23,48,0.02144660940672699,0,0
circuit660.qasm,32,52,7.771561172376096e-16,0,0
circuit211.qasm,67,48,0.8535533905932731,1,1
circuit540.qasm,23,54,7.771561172376096e-16,0,0
circuit359.qasm,37,49,0.14644660940672682,0,0
circuit001.qasm,74,52,0.8535533905932733,1,1
circuit115.qasm,79,53,0.8535533905932733,1,1
circuit519.qasm,64,51,0.6767766952966365,1,1
circuit978.qasm,64,46,0.7499999999999998,1,1
circuit385.qasm,66,51,0.8535533905932735,1,1
circuit782.qasm,29,49,6.661338147750939e-16,0,0
circuit822.qasm,28,34,0.1464466094067267,0,0
circuit121.qasm,59,50,0.7499999999999996,1,1
circuit091.qasm,44,51,0.3636262177912838,0,0
circuit131.qasm,74,55,0.9267766952966361,1,1
circuit062.qasm,50,52,0.375,0,0
circuit290.qasm,31,50,0.1464466094067265,0,0
circuit644.qasm,18,52,5.551115123125783e-16,0,0
circuit293.qasm,14,43,6.106226635438361e-16,0,0
circuit584.qasm,59,50,0.7499999999999999,1,1
circuit593.qasm,27,42,7.771561172376096e-16,0,0
circuit863.qasm,21,50,8.881784197001252e-16,0,0
circuit602.qasm,77,54,0.9999999999999992,1,1
circuit261.qasm,19,54,7.771561172376096e-16,0,0
circuit791.qasm,27,45,5.551115123125783e-16,0,0
circuit210.qasm,75,46,0.8535533905932733,1,1
circuit366.qasm,22,54,4.440892098500626e-16,0,0
circuit436.qasm,65,44,0.9267766952966364,1,1
circuit000.qasm,37,50,0.3232233047033634,0,0
circuit813.qasm,69,45,0.8535533905932733,1,1
circuit604.qasm,73,59,0.8535533905932732,1,1
circuit997.qasm,62,46,0.713388347648318,1,1
circuit723.qasm,25,43,6.106226635438361e-16,0,0
circuit393.qasm,23,45,7.771561172376096e-16,0,0
circuit585.qasm,68,45,0.8535533905932733,1,1
circuit856.qasm,66,45,0.8535533905932733,1,1
circuit151.qasm,63,51,0.7499999999999996,1,1
circuit458.qasm,80,55,0.9999999999999994,1,1
circuit083.qasm,66,49,0.8535533905932733,1,1
circuit336.qasm,64,45,0.8017766952966363,1,1
circuit465.qasm,78,50,0.8535533905932733,1,1
circuit347.qasm,53,44,0.6767766952966365,1,1
circuit258.qasm,63,45,0.8901650429449547,1,1
circuit379.qasm,20,42,6.106226635438361e-16,0,0
circuit339.qasm,70,59,0.8535533905932735,1,1
circuit150.qasm,21,47,7.771561172376096e-16,0,0
circuit972.qasm,16,60,6.661338147750939e-16,0,0
circuit677.qasm,45,56,0.25000000000000044,0,0
circuit340.qasm,24,49,4.440892098500626e-16,0,0
circuit781.qasm,40,57,0.21338834764831882,0,0
circuit372.qasm,37,46,0.25000000000000033,0,0
circuit269.qasm,30,63,4.996003610813204e-16,0,0
circuit018.qasm,62,48,0.6767766952966366,1,1
circuit136.qasm,67,55,0.9267766952966363,1,1
circuit695.qasm,29,50,0.07322330470336358,0,0
circuit116.qasm,36,43,0.14644660940672682,0,0
circuit287.qasm,66,55,0.8535533905932733,1,1
circuit110.qasm,74,42,0.7499999999999996,1,1
circuit912.qasm,32,53,7.771561172376096e-16,0,0
circuit109.qasm,66,56,0.8535533905932735,1,1
circuit494.qasm,75,50,0.8535533905932735,1,1
circuit325.qasm,20,42,4.996003610813204e-16,0,0
circuit111.qasm,40,57,0.3232233047033634,0,0
circuit382.qasm,71,51,0.9999999999999992,1,1
circuit402.qasm,61,53,0.7499999999999996,1,1
circuit933.qasm,45,58,0.25000000000000067,0,0
circuit672.qasm,32,50,0.14644660940672688,0,0
circuit386.qasm,60,59,0.6767766952966368,1,1
circuit903.qasm,23,38,4.440892098500626e-16,0,0
circuit759.qasm,34,51,0.14644660940672682,0,0
circuit081.qasm,72,47,0.8535533905932733,1,1
circuit939.qasm,29,54,0.14644660940672677,0,0
